,Name of user,Competition Name,Label,Ranking
178,123,The Fast Pay Story,0,0.204630176633
179,123,"FINAcumen, IIM Nagpur",1,0.307717909602
180,123,NEC IIT Bombay Presents Hashtrix,0,0.13503946766
181,123,NEC IIT Bomaby Presents HackStack,0,0.219725644458
182,123,Asia Pacific International Conference,0,0.245112378038
183,123,Interview Question Of Year 2017,0,0.194949610341
184,123,The Great Analytics Quiz,0,0.282841343861
185,123,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",0,0.230892604474
186,123,KDP Pen To Publish Contest,1,0.6539667786
187,123,Banjara International Film Festival 2017,0,0.174513016068
188,123,Spanish Guitar Competition 2017,1,0.50229184964
189,123,SSGK Maestro Olympiad,1,0.354042962674
190,123,Global Business Model Competition 2017,0,0.202244838042
191,123,National Geography Olympiad 2017,1,0.540196001911
192,123,NATS Talent Search,1,0.609255133763
193,123,JIFF ISC Script Contest,0,0.0
194,123,Maay Marathi Film Competition 2017,1,0.446449175995
195,123,Project Innovation Contest,1,0.319978278011
196,123,Dream Build Play 2017 Challenge,1,0.71025856388
197,123,Photography Competition 2017,1,0.739073386721
198,123,Asia Young Designer Award Contest,1,0.61374193444
199,123,GYTI Innovation Awards,0,0.243247667988
200,123,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,1,0.485438270591
201,123,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.234273962751
202,123,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.043012029174
203,123,Best International Future Lawyer Award 2017,0,0.0
204,123,Archasm Architecture Competition 2017,0,0.20402576108
205,123,4th National Essay Writing Competition 2018,0,0.143902696342
206,123,India?s Storytellers/ Script Contest 2017-2018,1,0.56724848686
207,123,Third National Essay Competition on Water 2017-18,0,0.297353669558
208,123,Soul of Bengaluru Photo Contest 2017,1,0.383980284068
209,123,1st International Article Writing Competition 2017,1,0.336609082586
210,123,"Combating Corruption, Battling Black Money Competition 2017",0,0.194800129624
211,123,Solar Chulha Innovation Challenge 2017,0,0.298673932615
212,131,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
213,131,Marksman Call For Articles- November 2017,1,0.505239055301
214,131,Convergence 2017,1,0.671378750677
215,131,Prarambh 2018,1,0.933003164409
216,131,Click India Photography Competition - Shot 3,1,0.376665142232
217,131,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,1,0.48127682823
218,131,Battleground 8.0,1,0.576261215531
219,131,ShopFloor,1,0.420247905502
220,131,CrackItUp,0,0.275455532211
221,131,NEC IIT Bombay Presents CodeSprint,1,0.524938016548
222,131,Kamaal Dhamaal Bemisaal,1,0.427531685098
223,131,Brainy Awards,1,0.307144331615
224,131,Inquizito - Tickle Your Grey Cells,1,0.449617229625
225,131,Finathon - Time To Trade!,1,0.403234385222
226,131,Yalgaar - Time For Halla Bol!,0,0.149757286325
227,131,IntellOps- Article Writing Competition By OpCellence,1,0.489895432566
228,131,BIOCON PRESENTS SHOT OF LIFE,1,0.31556500494
229,131,NEC IIT Bombay Presents Empresario,1,0.472273802723
230,131,Rural Le Carte,1,0.419688759587
231,131,The Fast Pay Story,1,0.419688759587
232,131,"FINAcumen, IIM Nagpur",1,0.705660174138
233,131,NEC IIT Bombay Presents Hashtrix,1,0.524938016548
234,131,NEC IIT Bomaby Presents HackStack,1,0.595284717902
235,131,Asia Pacific International Conference,1,0.646736839989
